gender,province,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
Female,Balochistan,Matric,Standard,None,71,76,71
Male,Sindh,Intermediate,Free/Reduced,None,63,65,61
Female,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,Completed,78,85,88
Female,Punjab,Intermediate,Standard,None,79,81,81
Male,Sindh,Matric,Standard,None,58,69,72
Male,Sindh,Matric,Free/Reduced,Completed,65,64,67
Female,Sindh,Matric,Standard,None,79,78,81
Male,Sindh,Intermediate,Free/Reduced,None,73,67,62
Female,Khyber Pakhtunkhwa,Matric,Free/Reduced,Completed,68,73,77
Female,Khyber Pakhtunkhwa,Primary or Below,Free/Reduced,Completed,67,71,79
Male,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,65,77,79
Male,Punjab,Matric,Free/Reduced,None,59,64,68
Male,Punjab,Master's Degree,Free/Reduced,None,54,65,63
Female,Punjab,Bachelor's Degree,Free/Reduced,Completed,69,73,80
Female,Punjab,Master's Degree,Standard,Completed,72,82,83
Female,Khyber Pakhtunkhwa,Primary or Below,Free/Reduced,Completed,63,72,76
Male,Punjab,Matric,Standard,None,65,69,67
Female,Khyber Pakhtunkhwa,Primary or Below,Standard,None,58,64,70
Female,Khyber Pakhtunkhwa,Primary or Below,Free/Reduced,Completed,70,72,81
Female,Sindh,Intermediate,Free/Reduced,None,56,69,69
Male,Punjab,Primary or Below,Standard,Completed,70,73,75
Male,Punjab,Matric,Standard,Completed,81,86,94
Female,Sindh,Bachelor's Degree,Standard,None,71,77,70
Female,Punjab,Master's Degree,Free/Reduced,Completed,76,79,87
Male,Punjab,Bachelor's Degree,Standard,None,72,69,66
Male,Punjab,Intermediate,Standard,None,61,62,59
Male,Islamabad Capital Territory,Intermediate,Free/Reduced,None,62,65,59
Male,Khyber Pakhtunkhwa,Primary or Below,Standard,Completed,68,76,81
Female,Khyber Pakhtunkhwa,Primary or Below,Free/Reduced,None,74,83,85
Male,Sindh,Intermediate,Standard,Completed,79,81,84
Male,Punjab,Bachelor's Degree,Standard,Completed,86,92,96
Male,Punjab,Bachelor's Degree,Standard,None,63,70,74
Female,Sindh,Bachelor's Degree,Standard,Completed,81,91,98
Male,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,None,62,66,75
Female,Islamabad Capital Territory,Bachelor's Degree,Standard,None,67,67,70
Male,Khyber Pakhtunkhwa,Intermediate,Standard,None,70,69,57
Female,Punjab,Intermediate,Standard,None,71,76,77
Male,Islamabad Capital Territory,Intermediate,Standard,Completed,69,76,84
Female,Sindh,Bachelor's Degree,Standard,None,55,64,65
Female,Punjab,Intermediate,Free/Reduced,Completed,68,75,74
Female,Punjab,Intermediate,Standard,None,71,72,67
