gender,province,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,parental_education_encoded
Female,Balochistan,Matric,Standard,Not Completed,71,76,71,1
Male,Sindh,Intermediate,Free/Reduced,Not Completed,63,65,61,2
Female,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,Completed,78,85,88,2
Female,Punjab,Intermediate,Standard,Not Completed,79,81,81,2
Male,Sindh,Matric,Standard,Not Completed,58,69,72,1
Male,Sindh,Matric,Free/Reduced,Completed,65,64,67,1
Female,Sindh,Matric,Standard,Not Completed,79,78,81,1
Male,Sindh,Intermediate,Free/Reduced,Not Completed,73,67,62,2
Female,Khyber Pakhtunkhwa,Matric,Free/Reduced,Completed,68,73,77,1
Female,Khyber Pakhtunkhwa,Primary or Below,Free/Reduced,Completed,67,71,79,0
Male,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,65,77,79,2
Male,Punjab,Matric,Free/Reduced,Not Completed,59,64,68,1
Male,Punjab,Master's Degree,Free/Reduced,Not Completed,54,65,63,4
Female,Punjab,Bachelor's Degree,Free/Reduced,Completed,69,73,80,3
Female,Punjab,Master's Degree,Standard,Completed,72,82,83,4
Female,Khyber Pakhtunkhwa,Primary or Below,Free/Reduced,Completed,63,72,76,0
Male,Punjab,Matric,Standard,Not Completed,65,69,67,1
Female,Khyber Pakhtunkhwa,Primary or Below,Standard,Not Completed,58,64,70,0
Female,Khyber Pakhtunkhwa,Primary or Below,Free/Reduced,Completed,70,72,81,0
Female,Sindh,Intermediate,Free/Reduced,Not Completed,56,69,69,2
Male,Punjab,Primary or Below,Standard,Completed,70,73,75,0
Male,Punjab,Matric,Standard,Completed,81,86,94,1
Female,Sindh,Bachelor's Degree,Standard,Not Completed,71,77,70,3
Female,Punjab,Master's Degree,Free/Reduced,Completed,76,79,87,4
Male,Punjab,Bachelor's Degree,Standard,Not Completed,72,69,66,3
Male,Punjab,Intermediate,Standard,Not Completed,61,62,59,2
Male,Islamabad Capital Territory,Intermediate,Free/Reduced,Not Completed,62,65,59,2
Male,Khyber Pakhtunkhwa,Primary or Below,Standard,Completed,68,76,81,0
Female,Khyber Pakhtunkhwa,Primary or Below,Free/Reduced,Not Completed,74,83,85,0
Male,Sindh,Intermediate,Standard,Completed,79,81,84,2
Male,Punjab,Bachelor's Degree,Standard,Completed,86,92,96,3
Male,Punjab,Bachelor's Degree,Standard,Not Completed,63,70,74,3
Female,Sindh,Bachelor's Degree,Standard,Completed,81,91,98,3
Male,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,Not Completed,62,66,75,2
Female,Islamabad Capital Territory,Bachelor's Degree,Standard,Not Completed,67,67,70,3
Male,Khyber Pakhtunkhwa,Intermediate,Standard,Not Completed,70,69,57,2
Female,Punjab,Intermediate,Standard,Not Completed,71,76,77,2
Male,Islamabad Capital Territory,Intermediate,Standard,Completed,69,76,84,2
Female,Sindh,Bachelor's Degree,Standard,Not Completed,55,64,65,3
Female,Punjab,Intermediate,Free/Reduced,Completed,68,75,74,2
Female,Punjab,Intermediate,Standard,Not Completed,71,72,67,2
Male,Sindh,Intermediate,Free/Reduced,Not Completed,72,74,64,2
Female,Punjab,Intermediate,Free/Reduced,Not Completed,60,66,69,2
Female,Sindh,Intermediate,Standard,Not Completed,79,73,72,2
Female,Punjab,Matric,Free/Reduced,Not Completed,65,65,65,1
Male,Islamabad Capital Territory,Intermediate,Standard,Not Completed,46,66,60,2
Female,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,Not Completed,61,72,75,2
Female,Punjab,Primary or Below,Standard,Completed,66,76,87,0
Female,Punjab,Matric,Free/Reduced,Not Completed,60,61,64,1
Female,Punjab,Primary or Below,Standard,Not Completed,40,58,58,0
Female,Punjab,Intermediate,Standard,Not Completed,64,67,70,2
Female,Punjab,Matric,Standard,Completed,73,88,95,1
Male,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,71,86,85,2
Female,Punjab,Intermediate,Free/Reduced,Completed,63,74,83,2
Female,Islamabad Capital Territory,Primary or Below,Standard,Completed,74,81,88,0
Male,Sindh,Matric,Standard,Completed,72,81,91,1
Female,Punjab,Matric,Free/Reduced,Completed,79,88,90,1
Female,Sindh,Primary or Below,Standard,Not Completed,87,77,70,0
Male,Sindh,Intermediate,Standard,Not Completed,52,57,54,2
Male,Sindh,Master's Degree,Standard,Not Completed,70,73,69,4
Male,Sindh,Matric,Standard,Not Completed,80,72,67,1
Male,Islamabad Capital Territory,Bachelor's Degree,Free/Reduced,Completed,59,77,84,3
Female,Punjab,Bachelor's Degree,Standard,Not Completed,55,70,70,3
Female,Islamabad Capital Territory,Master's Degree,Standard,Not Completed,73,72,75,4
Female,Sindh,Primary or Below,Standard,Completed,81,77,83,0
Female,Punjab,Primary or Below,Free/Reduced,Not Completed,51,59,67,0
Male,Balochistan,Matric,Standard,Not Completed,59,66,67,1
Female,Sindh,Intermediate,Standard,Not Completed,92,81,85,2
Male,Sindh,Bachelor's Degree,Free/Reduced,Not Completed,57,66,68,3
Male,Sindh,Intermediate,Standard,Not Completed,57,76,72,2
Male,Khyber Pakhtunkhwa,Master's Degree,Standard,Not Completed,71,69,65,4
Female,Sindh,Intermediate,Free/Reduced,Completed,73,79,85,2
Female,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,75,81,79,3
Female,Khyber Pakhtunkhwa,Matric,Free/Reduced,Not Completed,56,65,71,1
Male,Punjab,Matric,Standard,Not Completed,55,63,61,1
Male,Sindh,Matric,Standard,Completed,88,84,93,1
Male,Sindh,Intermediate,Free/Reduced,Not Completed,69,62,67,2
Female,Punjab,Matric,Standard,Not Completed,84,86,88,1
Female,Punjab,Bachelor's Degree,Standard,Completed,79,86,93,3
Female,Khyber Pakhtunkhwa,Intermediate,Standard,Not Completed,68,76,71,2
Male,Punjab,Intermediate,Standard,Not Completed,73,74,70,2
Female,Sindh,Matric,Standard,Not Completed,57,72,77,1
Female,Sindh,Intermediate,Free/Reduced,Not Completed,56,61,68,2
Male,Sindh,Matric,Free/Reduced,Completed,76,75,84,1
Female,Sindh,Intermediate,Free/Reduced,Not Completed,77,81,86,2
Male,Sindh,Intermediate,Standard,Completed,77,81,84,2
Male,Sindh,Matric,Standard,Completed,73,77,74,1
Female,Sindh,Primary or Below,Free/Reduced,Not Completed,63,63,69,0
Female,Sindh,Matric,Free/Reduced,Not Completed,63,64,70,1
Male,Khyber Pakhtunkhwa,Primary or Below,Standard,Completed,85,86,85,0
Male,Islamabad Capital Territory,Master's Degree,Standard,Not Completed,64,67,69,4
Male,Punjab,Master's Degree,Free/Reduced,Not Completed,62,64,63,4
Male,Punjab,Matric,Standard,Completed,60,68,81,1
Male,Punjab,Bachelor's Degree,Free/Reduced,Completed,74,80,84,3
Female,Punjab,Matric,Standard,Completed,73,88,92,1
Female,Punjab,Intermediate,Standard,Not Completed,72,78,79,2
Female,Sindh,Matric,Standard,Not Completed,82,77,81,1
Male,Islamabad Capital Territory,Bachelor's Degree,Standard,Completed,78,75,75,3
Female,Punjab,Intermediate,Standard,Not Completed,65,74,77,2
Female,Sindh,Bachelor's Degree,Standard,Completed,85,94,99,3
Male,Sindh,Intermediate,Standard,Not Completed,76,74,75,2
Male,Punjab,Master's Degree,Standard,Not Completed,63,71,67,4
Female,Sindh,Bachelor's Degree,Standard,Completed,65,77,81,3
Male,Sindh,Intermediate,Free/Reduced,Completed,42,63,76,2
Female,Sindh,Bachelor's Degree,Standard,Completed,92,86,90,3
Female,Sindh,Primary or Below,Free/Reduced,Completed,74,85,85,0
Male,Sindh,Primary or Below,Standard,Not Completed,58,69,66,0
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,Completed,55,72,74,3
Female,Sindh,Bachelor's Degree,Free/Reduced,Not Completed,71,77,73,3
Male,Punjab,Bachelor's Degree,Standard,Not Completed,64,73,74,3
Female,Khyber Pakhtunkhwa,Primary or Below,Free/Reduced,Not Completed,71,72,74,0
Female,Khyber Pakhtunkhwa,Matric,Standard,Not Completed,66,73,73,1
Female,Sindh,Master's Degree,Free/Reduced,Not Completed,67,67,68,4
Male,Sindh,Intermediate,Standard,Completed,67,85,83,2
Male,Punjab,Matric,Standard,Not Completed,86,70,65,1
Male,Punjab,Master's Degree,Free/Reduced,Not Completed,76,73,73,4
Female,Sindh,Bachelor's Degree,Standard,Not Completed,58,73,74,3
Female,Balochistan,Bachelor's Degree,Standard,Not Completed,88,83,86,3
Male,Punjab,Bachelor's Degree,Standard,Not Completed,64,73,64,3
Female,Khyber Pakhtunkhwa,Primary or Below,Free/Reduced,Not Completed,66,66,66,0
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Free/Reduced,Not Completed,50,63,64,3
Male,Islamabad Capital Territory,Master's Degree,Standard,Not Completed,68,62,61,4
Female,Punjab,Intermediate,Standard,Completed,88,96,96,2
Male,Sindh,Bachelor's Degree,Standard,Not Completed,61,77,78,3
Female,Punjab,Matric,Free/Reduced,Completed,67,80,82,1
Male,Balochistan,Intermediate,Standard,Completed,66,71,77,2
Female,Punjab,Intermediate,Free/Reduced,Completed,77,83,84,2
Male,Sindh,Matric,Standard,Completed,55,65,73,1
Female,Sindh,Bachelor's Degree,Free/Reduced,Not Completed,59,62,57,3
Male,Islamabad Capital Territory,Bachelor's Degree,Standard,Not Completed,69,65,63,3
Female,Balochistan,Matric,Free/Reduced,Not Completed,87,68,68,1
Male,Punjab,Intermediate,Standard,Not Completed,51,61,59,2
Male,Sindh,Intermediate,Standard,Not Completed,40,59,65,2
Female,Punjab,Bachelor's Degree,Standard,Completed,78,82,96,3
Male,Punjab,Master's Degree,Standard,Not Completed,82,76,73,4
Male,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,78,69,66,3
Male,Balochistan,Bachelor's Degree,Standard,Not Completed,59,65,63,3
Female,Sindh,Matric,Standard,Completed,84,82,84,1
Male,Punjab,Matric,Standard,Completed,64,80,83,1
Female,Sindh,Matric,Standard,Not Completed,65,73,72,1
Female,Balochistan,Bachelor's Degree,Free/Reduced,Not Completed,67,68,64,3
Male,Sindh,Bachelor's Degree,Standard,Not Completed,77,80,70,3
Female,Sindh,Bachelor's Degree,Free/Reduced,Not Completed,52,53,60,3
Female,Punjab,Intermediate,Standard,Completed,79,92,100,2
Female,Sindh,Bachelor's Degree,Standard,Not Completed,66,67,66,3
Male,Punjab,Matric,Free/Reduced,Not Completed,59,66,60,1
Male,Punjab,Matric,Free/Reduced,Not Completed,68,68,69,1
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Free/Reduced,Not Completed,82,80,71,3
Female,Punjab,Intermediate,Free/Reduced,Not Completed,55,56,64,2
Male,Sindh,Bachelor's Degree,Standard,Completed,76,82,91,3
Female,Punjab,Intermediate,Standard,Not Completed,73,75,72,2
Female,Balochistan,Intermediate,Free/Reduced,Completed,63,73,78,2
Female,Punjab,Primary or Below,Standard,Not Completed,69,72,73,0
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,Completed,65,77,84,3
Male,Punjab,Intermediate,Free/Reduced,Not Completed,60,65,64,2
Male,Sindh,Intermediate,Standard,Completed,70,80,81,2
Female,Khyber Pakhtunkhwa,Matric,Standard,Completed,72,79,82,1
Male,Sindh,Matric,Free/Reduced,Not Completed,40,56,51,1
Female,Balochistan,Primary or Below,Standard,Not Completed,55,62,66,0
Male,Sindh,Primary or Below,Free/Reduced,Not Completed,62,59,59,0
Female,Punjab,Bachelor's Degree,Standard,Completed,71,84,81,3
Male,Punjab,Matric,Standard,Not Completed,76,72,68,1
Female,Punjab,Intermediate,Free/Reduced,Not Completed,63,64,67,2
Female,Sindh,Matric,Free/Reduced,Not Completed,63,74,71,1
Male,Balochistan,Intermediate,Standard,Not Completed,71,75,79,2
Female,Sindh,Bachelor's Degree,Standard,Completed,79,87,92,3
Male,Punjab,Matric,Standard,Not Completed,50,61,64,1
Female,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,74,83,85,2
Male,Punjab,Master's Degree,Standard,Completed,68,84,87,4
Female,Sindh,Intermediate,Free/Reduced,Not Completed,62,79,81,2
Male,Sindh,Intermediate,Standard,Not Completed,76,79,77,2
Male,Punjab,Bachelor's Degree,Standard,Not Completed,53,61,62,3
Female,Khyber Pakhtunkhwa,Matric,Standard,Not Completed,71,72,76,1
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Free/Reduced,Completed,50,72,82,3
Female,Punjab,Intermediate,Standard,Not Completed,63,76,76,2
Male,Punjab,Intermediate,Standard,Not Completed,59,71,59,2
Female,Punjab,Bachelor's Degree,Standard,Not Completed,82,73,75,3
Female,Punjab,Intermediate,Free/Reduced,Not Completed,51,59,61,2
Male,Punjab,Master's Degree,Free/Reduced,Completed,78,77,82,4
Female,Punjab,Primary or Below,Standard,Completed,70,78,85,0
Female,Punjab,Intermediate,Free/Reduced,Completed,80,77,80,2
Female,Punjab,Intermediate,Standard,Not Completed,83,74,71,2
Female,Punjab,Bachelor's Degree,Standard,Completed,75,82,81,3
Female,Sindh,Matric,Free/Reduced,Completed,69,80,83,1
Female,Sindh,Intermediate,Free/Reduced,Not Completed,67,66,64,2
Male,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,70,76,73,3
Male,Balochistan,Matric,Standard,Not Completed,71,67,63,1
Female,Sindh,Primary or Below,Standard,Completed,74,84,93,0
Male,Khyber Pakhtunkhwa,Matric,Standard,Completed,72,79,83,1
Male,Sindh,Intermediate,Free/Reduced,Completed,65,71,74,2
Male,Punjab,Intermediate,Standard,Completed,67,81,85,2
Female,Sindh,Primary or Below,Standard,Not Completed,55,66,66,0
Female,Punjab,Bachelor's Degree,Standard,Completed,79,77,87,3
Male,Sindh,Intermediate,Standard,Not Completed,84,77,76,2
Female,Khyber Pakhtunkhwa,Master's Degree,Free/Reduced,Not Completed,62,71,64,4
Male,Punjab,Master's Degree,Standard,Not Completed,55,77,72,4
Female,Sindh,Intermediate,Standard,Not Completed,47,61,69,2
Female,Sindh,Matric,Standard,Not Completed,76,84,84,1
Female,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,54,59,63,3
Female,Sindh,Master's Degree,Standard,Completed,94,92,100,4
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,Not Completed,57,68,70,3
Male,Sindh,Bachelor's Degree,Standard,Not Completed,75,70,70,3
Male,Sindh,Intermediate,Standard,Completed,60,68,73,2
Female,Punjab,Matric,Standard,Completed,71,78,83,1
Male,Sindh,Master's Degree,Free/Reduced,Not Completed,56,68,67,4
Male,Sindh,Matric,Standard,Completed,66,74,76,1
Male,Khyber Pakhtunkhwa,Master's Degree,Standard,Not Completed,81,73,72,4
Male,Punjab,Intermediate,Free/Reduced,Completed,74,75,86,2
Female,Punjab,Intermediate,Standard,Not Completed,70,72,72,2
Male,Punjab,Matric,Standard,Not Completed,59,75,82,1
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,Not Completed,65,63,69,3
Female,Punjab,Intermediate,Free/Reduced,Not Completed,41,59,59,2
Female,Sindh,Master's Degree,Standard,Not Completed,64,68,73,4
Female,Islamabad Capital Territory,Matric,Standard,Not Completed,64,67,73,1
Female,Balochistan,Intermediate,Standard,Not Completed,76,73,70,2
